Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Zaragoza;Total;Nacidos en la UE27_2020;1.273
Zaragoza;Total;Nacidos en el resto de Europa;264
Zaragoza;Total;Nacidos en África;2.274
Zaragoza;Total;Nacidos en América;3.348
Zaragoza;Total;Nacidos en Asia;815
Zaragoza;Total;Nacidos en Oceanía;13
Zaragoza;Españoles;Total;943
Zaragoza;Españoles;Nacidos en España;602
Zaragoza;Españoles;Nacidos en la UE27_2020;20
Zaragoza;Españoles;Nacidos en el resto de Europa;7
Zaragoza;Españoles;Nacidos en África;121
Zaragoza;Españoles;Nacidos en América;175
Zaragoza;Españoles;Nacidos en Asia;18
Zaragoza;Españoles;Nacidos en Oceanía;0
Zaragoza;Extranjeros;Total;8.165
Zaragoza;Extranjeros;Nacidos en España;519
Zaragoza;Extranjeros;Nacidos en la UE27_2020;1.253
Zaragoza;Extranjeros;Nacidos en el resto de Europa;257
Zaragoza;Extranjeros;Nacidos en África;2.153
Zaragoza;Extranjeros;Nacidos en América;3.173
Zaragoza;Extranjeros;Nacidos en Asia;797
Zaragoza;Extranjeros;Nacidos en Oceanía;13
ASTURIAS, PRINCIPADO DE;Total;Total;1.982
ASTURIAS, PRINCIPADO DE;Total;Nacidos en España;613
ASTURIAS, PRINCIPADO DE;Total;Nacidos en la UE27_2020;299
ASTURIAS, PRINCIPADO DE;Total;Nacidos en el resto de Europa;69
ASTURIAS, PRINCIPADO DE;Total;Nacidos en África;163
ASTURIAS, PRINCIPADO DE;Total;Nacidos en América;756
ASTURIAS, PRINCIPADO DE;Total;Nacidos en Asia;76
ASTURIAS, PRINCIPADO DE;Total;Nacidos en Oceanía;6
ASTURIAS, PRINCIPADO DE;Españoles;Total;883
ASTURIAS, PRINCIPADO DE;Españoles;Nacidos en España;577
ASTURIAS, PRINCIPADO DE;Españoles;Nacidos en la UE27_2020;18
ASTURIAS, PRINCIPADO DE;Españoles;Nacidos en el resto de Europa;13
ASTURIAS, PRINCIPADO DE;Españoles;Nacidos en África;33
ASTURIAS, PRINCIPADO DE;Españoles;Nacidos en América;235
ASTURIAS, PRINCIPADO DE;Españoles;Nacidos en Asia;7
ASTURIAS, PRINCIPADO DE;Españoles;Nacidos en Oceanía;0
ASTURIAS, PRINCIPADO DE;Extranjeros;Total;1.099
ASTURIAS, PRINCIPADO DE;Extranjeros;Nacidos en España;36
ASTURIAS, PRINCIPADO DE;Extranjeros;Nacidos en la UE27_2020;281
ASTURIAS, PRINCIPADO DE;Extranjeros;Nacidos en el resto de Europa;56
ASTURIAS, PRINCIPADO DE;Extranjeros;Nacidos en África;130
ASTURIAS, PRINCIPADO DE;Extranjeros;Nacidos en América;521
ASTURIAS, PRINCIPADO DE;Extranjeros;Nacidos en Asia;69
ASTURIAS, PRINCIPADO DE;Extranjeros;Nacidos en Oceanía;6
BALEARS, ILLES;Total;Total;7.146
BALEARS, ILLES;Total;Nacidos en España;997
BALEARS, ILLES;Total;Nacidos en la UE27_2020;2.472
BALEARS, ILLES;Total;Nacidos en el resto de Europa;636
BALEARS, ILLES;Total;Nacidos en África;741
BALEARS, ILLES;Total;Nacidos en América;2.005
BALEARS, ILLES;Total;Nacidos en Asia;289
BALEARS, ILLES;Total;Nacidos en Oceanía;6
BALEARS, ILLES;Españoles;Total;1.482
BALEARS, ILLES;Españoles;Nacidos en España;804
BALEARS, ILLES;Españoles;Nacidos en la UE27_2020;23
BALEARS, ILLES;Españoles;Nacidos en el resto de Europa;23
BALEARS, ILLES;Españoles;Nacidos en África;143
BALEARS, ILLES;Españoles;Nacidos en América;455
BALEARS, ILLES;Españoles;Nacidos en Asia;34
BALEARS, ILLES;Españoles;Nacidos en Oceanía;0
BALEARS, ILLES;Extranjeros;Total;5.664
BALEARS, ILLES;Extranjeros;Nacidos en España;193
BALEARS, ILLES;Extranjeros;Nacidos en la UE27_2020;2.449
BALEARS, ILLES;Extranjeros;Nacidos en el resto de Europa;613
BALEARS, ILLES;Extranjeros;Nacidos en África;598
BALEARS, ILLES;Extranjeros;Nacidos en América;1.550
BALEARS, ILLES;Extranjeros;Nacidos en Asia;255
BALEARS, ILLES;Extranjeros;Nacidos en Oceanía;6
CANARIAS;Total;Total;10.189
CANARIAS;Total;Nacidos en España;1.514
CANARIAS;Total;Nacidos en la UE27_2020;3.265
CANARIAS;Total;Nacidos en el resto de Europa;998
CANARIAS;Total;Nacidos en África;981
CANARIAS;Total;Nacidos en América;3.062
CANARIAS;Total;Nacidos en Asia;358
CANARIAS;Total;Nacidos en Oceanía;11
CANARIAS;Españoles;Total;2.840
CANARIAS;Españoles;Nacidos en España;1.314
CANARIAS;Españoles;Nacidos en la UE27_2020;42
CANARIAS;Españoles;Nacidos en el resto de Europa;42
CANARIAS;Españoles;Nacidos en África;196
CANARIAS;Españoles;Nacidos en América;1.193
CANARIAS;Españoles;Nacidos en Asia;53
CANARIAS;Españoles;Nacidos en Oceanía;0
CANARIAS;Extranjeros;Total;7.349
CANARIAS;Extranjeros;Nacidos en España;200
CANARIAS;Extranjeros;Nacidos en la UE27_2020;3.223
CANARIAS;Extranjeros;Nacidos en el resto de Europa;956
CANARIAS;Extranjeros;Nacidos en África;785
CANARIAS;Extranjeros;Nacidos en América;1.869
CANARIAS;Extranjeros;Nacidos en Asia;305
CANARIAS;Extranjeros;Nacidos en Oceanía;11
Palmas, Las;Total;Total;5.804
Palmas, Las;Total;Nacidos en España;830
Palmas, Las;Total;Nacidos en la UE27_2020;2.086
Palmas, Las;Total;Nacidos en el resto de Europa;621
Palmas, Las;Total;Nacidos en África;729
Palmas, Las;Total;Nacidos en América;1.305
